timestamp,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2021-04-29 18:52,FRC2,38,49,91,70,1,false
2021-04-29 18:59,FRC2,32,48,108,72,1,false
2021-04-29 19:00,FRC2,31,48,111,72,1,false
2021-04-29 19:01,FRC2,30,49,115,70,1,false
2021-04-29 19:02,FRC2,31,48,111,72,1,false
2021-04-29 19:03,FRC2,35,48,98,72,1,false
2021-04-29 19:04,FRC2,37,48,93,72,1,false
2021-04-29 19:07,FRC2,49,49,70,70,1,false
2021-04-29 19:10,FRC2,49,49,70,70,1,false
2021-04-29 19:13,FRC2,49,49,70,70,1,false
2021-04-29 19:16,FRC2,49,49,70,70,1,false
2021-04-29 19:19,FRC2,49,49,70,70,1,false
2021-04-29 19:22,FRC2,49,49,70,70,1,false
2021-04-29 19:25,FRC2,49,49,70,70,1,false
2021-04-29 19:28,FRC2,49,49,70,70,1,false
2021-04-29 19:31,FRC2,49,49,70,70,1,false
2021-04-29 19:34,FRC2,49,49,70,70,1,false
2021-04-29 19:37,FRC2,49,49,70,70,1,false
2021-04-29 19:40,FRC2,49,49,70,70,1,false
2021-04-29 19:43,FRC2,49,49,70,70,1,false
2021-04-29 19:46,FRC2,49,49,70,70,1,false
2021-04-29 19:49,FRC2,49,49,70,70,1,false
2021-04-29 19:52,FRC2,49,49,70,70,1,false
2021-04-29 19:55,FRC2,49,49,70,70,1,false
2021-04-29 19:58,FRC2,49,49,70,70,1,false
2021-04-29 20:01,FRC2,49,49,70,70,1,false
2021-04-29 20:04,FRC2,49,49,70,70,1,false
2021-04-29 20:07,FRC2,49,49,70,70,1,false
2021-04-29 20:10,FRC2,49,49,70,70,1,false
2021-04-29 20:13,FRC2,49,49,70,70,1,false
2021-04-29 20:16,FRC2,49,49,70,70,1,false
2021-04-29 20:19,FRC2,49,49,70,70,1,false
2021-04-29 20:22,FRC2,49,49,70,70,1,false
2021-04-29 20:25,FRC2,49,49,70,70,1,false
2021-04-29 20:28,FRC2,49,49,70,70,1,false
2021-04-29 20:31,FRC2,49,49,70,70,1,false
2021-04-29 20:34,FRC2,49,49,70,70,1,false
2021-04-29 20:37,FRC2,49,49,70,70,1,false
2021-04-29 20:40,FRC2,49,49,70,70,1,false
2021-04-29 20:43,FRC2,49,49,70,70,1,false
2021-04-29 20:46,FRC2,49,49,70,70,1,false
2021-04-29 20:49,FRC2,49,49,70,70,1,false
2021-04-29 20:52,FRC2,49,49,70,70,1,false
2021-04-29 20:55,FRC2,31,49,111,70,1,false
2021-04-29 20:58,FRC2,36,49,96,70,1,false
2021-04-29 21:01,FRC2,37,49,93,70,1,false
2021-04-29 21:04,FRC2,49,49,70,70,1,false
2021-04-29 21:07,FRC2,49,49,70,70,1,false
2021-04-29 21:10,FRC2,49,49,70,70,1,false
2021-04-29 21:13,FRC2,49,49,70,70,1,false
2021-04-29 21:16,FRC2,49,49,70,70,1,false
2021-04-29 21:19,FRC2,37,49,93,70,1,false
2021-04-29 21:22,FRC2,37,49,93,70,1,false
2021-04-29 21:25,FRC2,30,49,115,70,0.9900000095367432,false
2021-04-29 21:28,FRC2,30,49,115,70,1,false
2021-04-29 21:31,FRC2,35,49,98,70,0.9900000095367432,false
2021-04-29 21:34,FRC2,48,48,72,72,0.9900000095367432,false
2021-04-29 21:37,FRC2,49,49,70,70,0.9900000095367432,false
2021-04-29 21:40,FRC2,49,49,70,70,0.9900000095367432,false
2021-04-29 21:43,FRC2,49,49,70,70,0.9900000095367432,false
2021-04-29 21:46,FRC2,48,48,72,72,0.9900000095367432,false
2021-04-29 21:49,FRC2,49,49,70,70,0.9900000095367432,false
2021-04-29 21:52,FRC2,49,49,70,70,0.9900000095367432,false
