"﻿""frc""",timestamp,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
FRC3,2021-04-25 14:44,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 14:59,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 15:14,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 15:29,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 15:44,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 15:59,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 16:14,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 16:29,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 16:44,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 16:59,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 17:14,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 17:29,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 17:44,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 17:59,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 18:56,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 18:57,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 19:11,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 19:12,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 19:26,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 19:27,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 19:41,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 19:42,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 19:56,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 19:57,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 20:11,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 20:12,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 20:26,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 20:27,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 20:41,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 20:42,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 20:56,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 20:57,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 21:11,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 21:12,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 21:26,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 21:27,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 21:41,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 21:42,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 21:56,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 21:57,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 22:11,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 22:12,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 22:26,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 22:27,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 22:41,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 22:42,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 22:56,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 22:57,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 23:11,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 23:12,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 23:26,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 23:27,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 23:41,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 23:42,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 23:56,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 23:57,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 0:11,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 0:12,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 0:26,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 0:27,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 0:41,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 0:42,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 0:56,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-25 0:57,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-26 1:12,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-26 1:13,54,54,12,12,0.8799999952316284,False
FRC3,2021-04-26 10:51,32,53,21,12,0.8799999952316284,False
FRC3,2021-04-26 11:06,32,53,21,12,0.8799999952316284,False
FRC3,2021-04-26 11:21,32,53,21,12,0.8799999952316284,False
FRC3,2021-04-26 11:36,32,53,21,12,0.8799999952316284,False
FRC3,2021-04-26 14:15,36,54,18,12,0.9200000166893005,False
FRC3,2021-04-26 14:30,36,54,18,12,0.9200000166893005,False
FRC3,2021-04-26 14:45,36,54,18,12,0.9200000166893005,False
FRC3,2021-04-26 14:47,54,54,12,12,0.6399999856948853,False
FRC3,2021-04-26 15:26,36,54,18,12,0.9200000166893005,False
FRC3,2021-04-26 15:26,38,54,17,12,0.9599999785423279,False
FRC3,2021-04-26 15:28,54,54,12,12,0.6399999856948853,False
FRC3,2021-04-26 15:35,35,54,19,12,0.949999988079071,False
FRC3,2021-04-26 15:41,38,54,17,12,0.9599999785423279,False
FRC3,2021-04-26 15:50,35,54,19,12,0.949999988079071,False
FRC3,2021-04-26 15:56,36,54,18,12,0.9200000166893005,False
FRC3,2021-04-26 15:59,34,54,19,12,0.6299999952316284,False
FRC3,2021-04-26 16:05,35,54,19,12,0.949999988079071,False
FRC3,2021-04-26 16:11,36,54,18,12,0.9200000166893005,False
FRC3,2021-04-26 15:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 15:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 15:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 15:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 16:13,36,53,18,12,0.6299999952316284,False
